name,city,country
Drew Doughty,"London, ON",CAN
Nic Dowd,"Huntsville, AL",USA
Justin Dowling,"Calgary, AB",CAN
Jonathan Drouin,"Ste-Agathe, QC",CAN
Brandon Dubinsky,"Anchorage, AK",USA
Matt Duchene,"Haliburton, ON",CAN
Anthony Duclair,"Pointe-Claire, QC",CAN
Matt Dumba,"Regina, SK",CAN
Gabriel Dumont,"Ville Degelis, QC",CAN
Brian Dumoulin,"Biddeford, ME",USA
Christian Dvorak,"Palos, IL",USA
Ryan Dzingel,"Wheaton, IL",USA
Cody Eakin,"Winnipeg, MB",CAN
Patrick Eaves,"Calgary, AB",CAN
Jordan Eberle,"Regina, SK",CAN
Joel Edmundson,"Brandon, MB",CAN
Jack Eichel,"North Chelmsford, MA",USA
Aaron Ekblad,"Windsor, ON",CAN
Remi Elie,"Cornwall, ON",CAN
Ryan Ellis,"Hamilton, ON",CAN
Deryk Engelland,"Edmonton, AB",CAN
Tyler Ennis,"Edmonton, AB",CAN
Adam Erne,"New Haven, CT",USA
Emerson Etem,"Long Beach, CA",USA
Robby Fabbri,"Mississauga, ON",CAN
Justin Falk,"Snowflake, MB",CAN
Bobby Farnham,"North Andover, MA",USA
Hudson Fasching,"Milwaukee, WI",USA
Justin Faulk,"South St.Paul, MN",USA
Mark Fayne,"Nashua, NH",USA
Taylor Fedun,"Edmonton, AB",CAN
Eric Fehr,"Winkler, MB",CAN
Micheal Ferland,"Swan River, MB",CAN
Vernon Fiddler,"Edmonton, AB",CAN
Christian Fischer,"Chicago, IL",USA
Mike Fisher,"Peterborough, ON",CAN
Brian Flynn,"Lynnfield, MA",USA
Marcus Foligno,"Buffalo, NY",USA
Nick Foligno,"Buffalo, NY",USA
Derek Forbort,"Duluth, MN",USA
Cam Fowler,"Windsor, ON",CAN
Cody Franson,"Sicamous, BC",CAN
Byron Froese,"Winkler, MB",CAN
Kurtis Gabriel,"Newmarket, ON",CAN
Sam Gagner,"London, ON",CAN
Alex Galchenyuk,"Milwaukee, WI",USA
Brendan Gallagher,"Edmonton, AB",CAN
Ryan Garbutt,"Edmonton, AB",CAN
Jake Gardiner,"Minnetonka, MN",USA
Jason Garrison,"White Rock, BC",CAN
Tyler Gaudet,"Hamilton, ON",CAN
Frederick Gaudreau,"Bromont, QC",CAN
Johnny Gaudreau,"Salem, NJ",USA
Brendan Gaunce,"Sudbury, ON",CAN
Cameron Gaunce,"Sudbury, ON",CAN
Frederik Gauthier,"St-Lin, QC",CAN
Luke Gazdic,"Toronto, ON",CAN
Eric Gelinas,"Vanier, ON",CAN
Ryan Getzlaf,"Regina, SK",CAN
Tom Gilbert,"Bloomington, MN",USA
Brian Gionta,"Rochester, NY",USA
Stephen Gionta,"Rochester, NY",USA
Mark Giordano,"Toronto, ON",CAN
Dan Girardi,"Welland, ON",CAN
Claude Giroux,"Hearst, ON",CAN
Tanner Glass,"Regina, SK",CAN
Luke Glendening,"Grand Rapids, MI",USA
Alex Goligoski,"Grand Rapids, MN",USA
Cody Goloubef,"Mississauga, ON",CAN
Barclay Goodrow,"Toronto, ON",CAN
Boyd Gordon,"Unity, SK",CAN
Josh Gorges,"Kelowna, BC",CAN
Shayne Gostisbehere,"Pembroke Pines, FL",USA
Yanni Gourde,"Saint-Narcisse, QC",CAN
Derek Grant,"Abbotsford, BC",CAN
Tyler Graovac,"Brampton, ON",CAN
Kevin Gravel,"Kingsford, MI",USA
Mike Green,"Calgary, AB",CAN
Andy Greene,"Trenton, MI",USA
Matt Greene,"Grand Ledge, MI",USA
A.J. Greer,"Joliette, QC",CAN
Alex Grenier,"Laval, QC",CAN
Seth Griffith,"Wallaceburg, ON",CAN
Rocco Grimaldi,"Anaheim, CA",USA
Eric Gryba,"Saskatoon, SK",CAN
Matt Grzelcyk,"Charlestown, MA",USA
Erik Gudbranson,"Ottawa, ON",CAN
Jake Guentzel,"Omaha, NE",USA
Brendan Guhle,"Edmonton, AB",CAN
Ron Hainsey,"Bolton, CT",USA
Micheal Haley,"Guelph, ON",CAN
Taylor Hall,"Calgary, AB",CAN
Dan Hamhuis,"Smithers, BC",CAN
Dougie Hamilton,"Toronto, ON",CAN
Freddie Hamilton,"Toronto, ON",CAN
Travis Hamonic,"St. Malo, MB",CAN
Noah Hanifin,"Boston, MA",USA
Joel Hanley,"Keswick, ON",CAN
Shane Harper,"Valencia, CA",USA
Ben Harpur,"Hamilton, ON",CAN
Scott Harrington,"Kingston, ON",CAN
Ryan Hartman,"Hilton Head Isl., SC",USA
Scott Hartnell,"Regina, SK",CAN
Garnet Hathaway,"Kennebunkport, ME",USA
John Hayden,"Chicago, IL",USA
Jimmy Hayes,"Boston, MA",USA
Kevin Hayes,"Dorchester, MA",USA
Danton Heinen,"Langley, BC",CAN
Seth Helgeson,"Faribault, MN",USA
Darren Helm,"St. Andrews, MB",CAN
Matt Hendricks,"Blaine, MN",USA
Samuel Henley,"Val-d'Or, QC",CAN
Adam Henrique,"Brantford, ON",CAN
Thomas Hickey,"Calgary, AB",CAN
Vinnie Hinostroza,"Chicago, IL",USA
Joshua Ho-Sang,"Toronto, ON",CAN
Mike Hoffman,"Kitchener, ON",CAN
Nick Holden,"St. Albert, AB",CAN
Peter Holland,"Toronto, ON",CAN
Bo Horvat,"London, ON",CAN
Quinton Howden,"Winnipeg, MB",CAN
Jonathan Huberdeau,"Saint-Jerome, QC",CAN
Charles Hudon,"Alma, QC",CAN
Brad Hunt,"Maple Ridge, BC",CAN
Matt Hunwick,"Warren, MI",USA
Ben Hutton,"Brockville, ON",CAN
Zach Hyman,"Toronto, ON",CAN
Jarome Iginla,"Edmonton, AB",CAN
Matt Irwin,"Victoria, BC",CAN
Mark Jankowski,"Hamilton, ON",CAN
Boone Jenner,"Dorchester, ON",CAN
Nick Jensen,"St. Paul, MN",USA
Ryan Johansen,"Vancouver, BC",CAN
Stephen Johns,"Ellwood City, PA",USA
Erik Johnson,"Bloomington, MN",USA
Jack Johnson,"Indianapolis, IN",USA
Tyler Johnson,"Spokane, WA",USA
Ryan Johnston,"Sudbury, ON",CAN
Connor Jones,"Montrose, BC",CAN
Seth Jones,"Arlington, TX",USA
Josh Jooris,"Burlington, ON",CAN
Tyson Jost,"St. Albert, AB",CAN
Nazem Kadri,"London, ON",CAN
Steven Kampfer,"Ann Arbor, MI",USA
Evander Kane,"Vancouver, BC",CAN
Patrick Kane,"Buffalo, NY",USA
Michael Kapla,"Eau Claire, WI",USA
Zack Kassian,"Windsor, ON",CAN
Bracken Kearns,"North Vancouver, BC",CAN
Duncan Keith,"Winnipeg, MB",CAN
Clayton Keller,"Chesterfield, MO",USA
Chris Kelly,"Toronto, ON",CAN
Nicolas Kerdiles,"Lewisville, TX",USA
Tanner Kero,"Hancock, MI",USA
Ryan Kesler,"Livonia, MI",USA
Phil Kessel,"Madison, WI",USA
Jujhar Khaira,"Surrey, BC",CAN
Alex Killorn,"Halifax, NS",CAN
Dwight King,"Meadow Lake, SK",CAN
Kevin Klein,"Kitchener, ON",CAN
Slater Koekkoek,"Winchester, ON",CAN
Travis Konecny,"London, ON",CAN
Chris Kreider,"Boxford, MA",USA
Torey Krug,"Livonia, MI",USA
Brett Kulak,"Edmonton, AB",CAN
Chris Kunitz,"Regina, SK",CAN
Sean Kuraly,"Dublin, OH",USA
Kevin Labanc,"Brooklyn, NY",USA
Joseph Labate,"Burnsville, MN",USA
Andrew Ladd,"Maple Ridge, BC",CAN
Paul Ladue,"Grand Forks, ND",USA
Nick Lappin,"Geneva, IL",USA
Dylan Larkin,"Waterford, MI",USA
Brian Lashoff,"Albany, NY",USA
