Date,Dist,Duration,Pace,Speed,Shorts,Shirt,Notes,Temp Start,Temp End,Temp,Start Time,Bike?,Sleep,Game,Game 2wk,,Run Total,Run Pace,Run Diff,,Game Total,Game Pace,Game Dif,,Dif,,,,,,,,,
"Thursday, February 11, 16",,,,,,,,,,,,,,,10.6,,0.5,34.4,-33.9,,41,34.4,-6.6,,-40.5,,,,,,,,,
"Friday, February 12, 16",,,,,,,,,,,,,,,7.5,,0.5,35.2,-34.7,,41,35.2,-5.8,,-40.5,,,,,,,,,
"Saturday, February 13, 16",,,,,,,,,,,,,,,3.9,,0.5,36.1,-35.6,,41,36.1,-4.9,,-40.5,,,,,,,,,
"Sunday, February 14, 16",,,,,,,,,,,,,,,3.9,,0.5,36.9,-36.4,,41,36.9,-4.1,,-40.5,,,,,,,,,
"Monday, February 15, 16",,,,,,,,,,,,,,,3.9,,0.5,37.7,-37.2,,41,37.7,-3.3,,-40.5,,,,,,,,,
"Tuesday, February 16, 16",,,,,,,,,,,,,,,3.9,,0.5,38.5,-38.0,,41,38.5,-2.5,,-40.5,,,,,,,,,
"Wednesday, February 17, 16",,,,,,,,,,,,,,,3.9,,0.5,39.3,-38.8,,41,39.3,-1.7,,-40.5,,,,,,,,,
"Thursday, February 18, 16",,,,,,,,,,,,,,,2,,0.5,40.2,-39.7,,41,40.2,-0.8,,-40.5,,,,,,,,,
"Friday, February 19, 16",,,,,,,,,,,,,,,0,,0.5,41.0,-40.5,,41,41.0,0.0,,-40.5,,,,,,,,,
"Saturday, February 20, 16",,,,,,,,,,,,,,5.1,5.1,,0.5,41.8,-41.3,,46.1,41.8,-4.3,,-45.6,,,,,,,,,
"Sunday, February 21, 16",,,,,,,,,,,,,,2.5,7.6,,0.5,42.6,-42.1,,48.6,42.6,-6.0,,-48.1,,,,,,,,,
"Monday, February 22, 16",,,,,,,,,,,,,,,7.6,,0.5,43.4,-42.9,,48.6,43.4,-5.2,,-48.1,,,,,,,,,
"Tuesday, February 23, 16",,,,,,,,,,,,,,,7.6,,0.5,44.3,-43.8,,48.6,44.3,-4.3,,-48.1,,,,,,,,,
"Wednesday, February 24, 16",,,,,,,,,,,,,,,7.6,,0.5,45.1,-44.6,,48.6,45.1,-3.5,,-48.1,,,,,,,,,
"Thursday, February 25, 16",,,,,,,,,,,,,,,7.6,,0.5,45.9,-45.4,,48.6,45.9,-2.7,,-48.1,,,,,,,,,
"Friday, February 26, 16",,,,,,,,,,,,,,,7.6,,0.5,46.7,-46.2,,48.6,46.7,-1.9,,-48.1,,,,,,,,,
"Saturday, February 27, 16",,,,,,,,,,,,,,,7.6,,0.5,47.5,-47.0,,48.6,47.5,-1.1,,-48.1,,,,,,,,,
"Sunday, February 28, 16",,,,,,,,,,,,,,1.4,9,,0.5,48.4,-47.9,,50,48.4,-1.6,,-49.5,,,,,,,,,
"Monday, February 29, 16",,,,,,,,,,,,,,,9,,0.5,49.2,-48.7,,50,49.2,-0.8,,-49.5,,,,,,,,,
"Tuesday, March 1, 16",,,,,,,,,,,,,,,9,,0.5,50.0,-49.5,,50,50.0,0.0,,-49.5,,,,,,,,,
"Wednesday, March 2, 16",,,,,,,,,,,,,,2,11,,0.5,50.8,-50.3,,52,50.8,-1.2,,-51.5,,,,,,,,,
"Thursday, March 3, 16",,,,,,,,,,,,,,,11,,0.5,51.6,-51.1,,52,51.6,-0.4,,-51.5,,,,,,,,,
"Friday, March 4, 16",,,,,,,,,,,,,,1,12,,0.5,52.5,-52.0,,53,52.5,-0.5,,-52.5,,,,,,,,,
"Saturday, March 5, 16",,,,,,,,,,,,,,4.1,11,,0.5,53.3,-52.8,,57.1,53.3,-3.8,,-56.6,,,,,,,,,
"Sunday, March 6, 16",,,,,,,,,,,,,,1.3,9.8,,0.5,54.1,-53.6,,58.4,54.1,-4.3,,-57.9,,,,,,,,,
"Monday, March 7, 16",,,,,,,,,,,,,,,9.8,,0.5,54.9,-54.4,,58.4,54.9,-3.5,,-57.9,,,,,,,,,
"Tuesday, March 8, 16",3.04,15.37,5:03,11.87,Under Armour,HH,,,,17,15:00,,7,,9.8,,3.54,55.7,-52.2,,58.4,55.7,-2.7,,-54.9,,,,,,,,,
"Wednesday, March 9, 16",,,,,,,,,,,,,,,9.8,,3.54,56.6,-53.0,,58.4,56.6,-1.8,,-54.9,,,,,,,,,
"Thursday, March 10, 16",,,,,,,,,,,,,,,9.8,,3.54,57.4,-53.8,,58.4,57.4,-1.0,,-54.9,,,,,,,,,
"Friday, March 11, 16",,,,,,,,,,,,,,3,12.8,,3.54,58.2,-54.7,,61.4,58.2,-3.2,,-57.9,,,,,,,,,
"Saturday, March 12, 16",3.04,15.20,5:00,12.00,Under Armour,HH,"Hungover, Sprite",,,15,16:00,,8.5,,12.8,,6.58,59.0,-52.4,,61.4,59.0,-2.4,,-54.8,,,,,,,,,
"Sunday, March 13, 16",,,,,,,,,,,,,,,11.4,,6.58,59.8,-53.3,,61.4,59.8,-1.6,,-54.8,,,,,,,,,
"Monday, March 14, 16",,,,,,,,,,,,,,,11.4,,6.58,60.7,-54.1,,61.4,60.7,-0.7,,-54.8,,,,,,,,,
"Tuesday, March 15, 16",,,,,,,,,,,,,,,11.4,,6.58,61.5,-54.9,,61.4,61.5,0.1,,-54.8,,,,,,,,,
"Wednesday, March 16, 16",,,,,,,,,,,,,,,9.4,,6.58,62.3,-55.7,,61.4,62.3,0.9,,-54.8,,,,,,,,,
"Thursday, March 17, 16",,,,,,,,,,,,,,,9.4,,6.58,63.1,-56.5,,61.4,63.1,1.7,,-54.8,,,,,,,,,
"Friday, March 18, 16",,,,,,,,,,,,,?,,8.4,,6.58,63.9,-57.4,,61.4,63.9,2.5,,-54.8,,,,,,,,,
"Saturday, March 19, 16",,,,,,,,,,,,,,,4.3,,6.58,64.8,-58.2,,61.4,64.8,3.4,,-54.8,,,,,,,,,
"Sunday, March 20, 16",,,,,,,,,,,,,,,3,,6.58,65.6,-59.0,,61.4,65.6,4.2,,-54.8,,,,,,,,,
"Monday, March 21, 16",,,,,,,,,,,,,,,3,,6.58,66.4,-59.8,,61.4,66.4,5.0,,-54.8,,,,,,,,,
"Tuesday, March 22, 16",0.5,1.98,3:58,15.13,Pants,Canada Goose,,,,9,17:00,,7,,3,,7.08,67.2,-60.1,,61.4,67.2,5.8,,-54.3,,,,,,,,,
"Wednesday, March 23, 16",,,,,,,,,,,,,,,3,,7.08,68.0,-61.0,,61.4,68.0,6.6,,-54.3,,,,,,,,,
"Thursday, March 24, 16",,,,,,,,,,,,,,6.8,9.8,,7.08,68.9,-61.8,,68.2,68.9,0.7,,-61.1,,,,,,,,,
"Friday, March 25, 16",,,,,,,,,,,,,,1,7.8,,7.08,69.7,-62.6,,69.2,69.7,0.5,,-62.1,,,,,,,,,
"Saturday, March 26, 16",,,,,,,,,,,,,,,7.8,,7.08,70.5,-63.4,,69.2,70.5,1.3,,-62.1,,,,,,,,,
"Sunday, March 27, 16",3.04,14.78,4:52,12.34,Under Armour,HH,,,,15,15:50,,8,,7.8,,10.12,71.3,-61.2,,69.2,71.3,2.1,,-59.1,,,,,,,,,
"Monday, March 28, 16",,,,,,,,,,,,,,,7.8,,10.12,72.1,-62.0,,69.2,72.1,2.9,,-59.1,,,,,,,,,
"Tuesday, March 29, 16",,,,,,,,,,,,,,,7.8,,10.12,73.0,-62.8,,69.2,73.0,3.8,,-59.1,,,,,,,,,
